genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments,
Fam90a1b,1,Fam90a1b,,transcripts deleted,,two gene_ids correspond to a single gene,
Fancc,1,Gm16132,,keep as is,,Contains nested genes,
Farp1,1,B930095G15Rik,,keep as is,,Contains nested genes,
Fars2,1,Gm46409,,readthrough transcripts deleted,Fars2-210,Special case: readthrough,
Fastkd5,1,Ubox5,,keep as is,,Special case: coding exon is nested in another gene.,
Fbxl17,1,4930405O22Rik,,keep as is,,Contains nested genes,
Fbxl18,1,D430018E03Rik,,keep as is,,,
Fbxl2,1,Gm47950,,keep as is,,,
Fbxl20,1,Gm11632,,keep as is,,,
Fbxl5,1,Gm42555,,premature transcripts deleted,Fbxl5-203,,
Fbxo24,1,Pcolce,,keep as is,,,
Fbxw10,1,Trim16,,keep as is,,upstream gene fixed,
Fcho2,1,D130062J10Rik,,keep as is,,,
Fkbp5,1,Gm49838,,keep as is,,,
Flad1,1,Lenep,,readthrough transcripts deleted,"Flad1-201, Flad1-204",,
Flicr,1,Foxp3,,keep as is,,,
Fnip2,1,Gm3513,,keep as is,,,
Fntb,1,Churc1,,premature transcripts deleted,"Fntb-203, Fntb-206",,
Foxm1,1,Tex52,,readthrough transcripts deleted,Foxm1-201,,
Foxn3,1,Gm20682,,keep as is,,,
Foxp1,1,Gm20705,,keep as is,,,
Foxp3,1,Flicr,,premature transcripts deleted,Foxp3-209,,
Fpr2,1,Fpr3,,keep as is,,,
Fpr3,1,Fpr2,,premature transcripts deleted,Fpr3-201,,
Frs3,1,Tomm6os,,premature transcripts deleted,Frs3-205,,
Fryl,1,Gm17207,,keep as is,,,
Fsbp,1,Rad54b,,keep as is,,,
Fyco1,1,Gm17021,,keep as is,,,
G3bp1,1,Gm12238,,keep as is,,,
G630055G22Rik,1,Eno1b,,keep as is,,Contains nested genes,
Gad1os,1,Erich2os,,keep as is,,,
Galnt14,1,D630014O11Rik,,keep as is,,,
Galnt17,1,Gm43166,,keep as is,,Nested gene,
Galnt4,1,Poc1b,,keep as is,,Nested gene,
Galt,1,Il11ra1,,keep as is,,,
Ganc,1,Capn3,,keep as is,,Note - the downstream gene nomenclature has changed in the new Ensembl annotation.,
Gata3,1,9230102O04Rik,,premature transcripts deleted,"Gata3-202, Gata3-203, Gata3-204",,
Gdf1,1,Cers1,,Delete,,"Deleting and renaming Cers1 as ""Cers1/Gdf1"" as their coding exon is perfectly overlapping.",
Gemin4,1,Glod4,,keep as is,,upstream gene fixed,
Git2,1,4930515G01Rik,,keep as is,,Contains nested genes,
Gja6,1,Cdkl5,,keep as is,,Nested gene,
Glb1,1,Tmppe,,keep as is,,Special case: contains nested coding exon.,
Glis3,1,4933413C19Rik,,keep as is,,Contains nested genes,
Glo1,1,1700097N02Rik,,keep as is,,,
Gls2,1,AC135859.1,,keep as is,,Contains nested genes,
Glt28d2,1,Gm37240,,keep as is,,,
Glt6d1,1,Gm13538,,keep as is,,,
Gm10024,1,Tspear,,keep as is,,,
Gm10100,1,Tspear,,keep as is,,,
Gm10115,1,Celf2,,keep as is,,,
Gm10125,1,Gm26575,,keep as is,,Contains nested genes,
Gm10139,1,Gm48166,,keep as is,,,
Gm10142,1,Tspear,,keep as is,,,
Gm10198,1,Gm15286,,keep as is,,Nested gene,
Gm10256,1,Rbmy,,premature transcripts deleted,Gm10256-201,,
Gm10272,1,Tspear,,keep as is,,,
Gm10318,1,Tspear,,keep as is,,,
Gm10408,1,Gm3005,,keep as is,,,
Gm10409,1,Gm3005,,keep as is,,,
Gm10484,1,Cdk14,,keep as is,,,
Gm10530,1,Tnr,,keep as is,,Nested gene,
Gm10544,1,Gm38097,,keep as is,,Contains nested genes,
Gm10563,1,Gm16023,,keep as is,,Special case,
Gm10754,1,C030005K15Rik,,keep as is,,,
Gm10855,1,Celf2,,keep as is,,,
Gm10862,1,Frmd4a,,keep as is,,,
Gm10959,1,4933405D12Rik,,keep as is,,,
Gm11037,1,Hspa12b,,keep as is,,Special case: nested interleaved,
Gm11042,1,Gm34552,,keep as is,,,
Gm11084,1,Sp3,,keep as is,,Single transcript.,
Gm11111,1,Cfap299,,keep as is,,,
Gm11216,1,8030451A03Rik,,keep as is,,,
Gm11236,1,Gm11238,,keep as is,,Nested gene,
Gm11237,1,Gm11238,,keep as is,,Nested gene,
Gm11267,1,Nfib,,keep as is,,Downstream gene fixed,
Gm11364,1,Cdkal1,,keep as is,,Absent in Refseq. Leaving in as it makes no difference.,
Gm11455,1,Stk4,,keep as is,,Nested gene,
Gm11464,1,Platr29,,keep as is,,Interleaved structure. Absent in Refseq. Leaving as is.,
Gm11611,1,Srcin1,,Delete,,Absent in Refseq. Exon overlaps with exon of protein coding gene.,
Gm11629,1,Rpl19,,keep as is,,,
Gm11632,1,Fbxl20,,Delete,,Absent in Refseq. Overlaps with terminal exon of protein coding gene.,
Gm11639,1,Efcab3,,readthrough transcripts deleted,Gm11639-203,,
Gm11656,1,Apoh,,keep as is,,,
Gm11722,1,Psmd12,,keep as is,,Nested gene,
Gm11749,1,Rbfox3,,keep as is,,,
Gm11753,1,Tbc1d16,,keep as is,,Nested gene,
Gm11815,1,1700123O12Rik,,keep as is,,,
Gm11906,1,Gpr63,,keep as is,,,
Gm11944,1,Patz1,,keep as is,,Overlap marginal,
Gm11946,1,Gm11947,,transcripts deleted,Gm11946-201,,
Gm11947,1,Gm11946,,keep as is,,,
Gm11948,1,Limk2,,keep as is,,Absent in Refseq. Negligible mapping. Leaving as is but effectively silent.,
Gm12068,1,4933430M04Rik,,keep as is,,,
Gm12069,1,4933427E13Rik,,keep as is,,,
Gm12117,1,Ranbp17,,keep as is,,Nested gene,
Gm12122,1,Slit3,,keep as is,,Absent in Refseq. Leave as is.,
Gm12144,1,Gm12146,,keep as is,,,
Gm12146,1,Gm12144,,keep as is,,,
Gm12207,1,Skp1a,,keep as is,,Nested gene,
Gm12238,1,G3bp1,,keep as is,,,
Gm12278,1,Pigl,,keep as is,,Nested gene,
Gm12305,1,Ntn1,,keep as is,,Absent in Refseq. Leaving as is but effectively silent.,
Gm12353,1,Rmdn1,,keep as is,,,
Gm12394,1,Fam205a1,,keep as is,,,
Gm12395,1,4930578G10Rik,,keep as is,,Absent in Refseq. Leave as is.,
Gm12410,1,Gm829,,keep as is,,Nested gene,
Gm12474,1,Gm42868,,keep as is,,,
Gm12478,1,Gm12480,,keep as is,,,
Gm12480,1,Gm12478,,keep as is,,Nested gene,
Gm12594,1,Shoc1,,keep as is,,Nested gene,
Gm12676,1,E130114P18Rik,,keep as is,,Nested gene,
Gm12701,1,Ror1,,keep as is,,Nested gene,
Gm12735,1,Drg1,,keep as is,,,
Gm12737,1,Tut4,,keep as is,,Nested gene,
Gm128,1,Bnipl,,keep as is,,Special case for pseudogenes: Upstream gene fixed. Gene present in Refseq,
Gm12940,1,Sfpq,,keep as is,,Upstream gene fixed,
Gm12971,1,Pum1,,keep as is,,Nested gene,
Gm12981,1,Sesn2,,keep as is,,Nested gene,
Gm13001,1,1700037C06Rik,,keep as is,,,
Gm13053,1,Tmem51,,keep as is,,Nested gene,
Gm13057,1,BC080695,,keep as is,,"Overlapping gene is wrongly annotated in the current version, but fixed in new.",
Gm13096,1,Acot7,,keep as is,,Nested gene,
Gm13380,1,Arhgap21,,keep as is,,,
Gm13483,1,Gm48908,,keep as is,,,
Gm13538,1,Glt6d1,,keep as is,,Slight keep as is overlap with protein coding gene but leaving as is.,
Gm13558,1,Upp2,,keep as is,,Nested gene,
Gm13568,1,0610009E02Rik,,keep as is,,Overlaps with another pseudogene but is absent in Refseq,
Gm13625,1,Mettl5,,keep as is,,Slight keep as is overlap with protein coding gene but leaving as is.,
Gm13631,1,Myo3b,,keep as is,,Slight keep as is overlap with protein coding gene but leaving as is.,
Gm13648,1,Ttll10,,keep as is,,Weird interlieved structure,
Gm13727,1,Cwc22,,keep as is,,Slight keep as is overlap with protein coding gene but leaving as is.,
Gm13780,1,2900072N19Rik,,keep as is,,,
Gm13783,1,Nr1h3,,keep as is,,Downstream gene fixed,
Gm13840,1,Pxn,,keep as is,,Nested gene,
Gm13849,1,Gm43154,,keep as is,,Single transcript,
Gm13919,1,Gm13920,,keep as is,,,
Gm13920,1,Gm13919,,keep as is,,,
Gm13963,1,Gm13966,,keep as is,,weird interleaved,
Gm13966,1,Gm13963,,keep as is,,,
Gm13974,1,Gm28492,,keep as is,,,
Gm13997,1,Pla2g4e,,keep as is,,Exon overlaps but at 5' end of protein coding gene.,
Gm14012,1,Morrbid,,keep as is,,,
Gm14027,1,Zc3h6,,keep as is,,Slight keep as is overlap with protein coding gene but leaving as is.,
Gm14040,1,F830045P16Rik,,keep as is,,Nested gene,
Gm14093,1,Slc24a3,,keep as is,,Nested gene,
Gm14209,1,Plcb4,,keep as is,,"Absent in Refseq, leaving as is",
Gm14226,1,a,,keep as is,,,
Gm14233,1,Pank2,,Delete,,Exon overlaps,
Gm14235,1,E130018N17Rik,,keep as is,,Interleaved structure,
Gm14305,1,Zfp973,,keep as is,,,
Gm14321,1,9230111E07Rik,,keep as is,,Retraining since also in Refseq.,
Gm14339,1,Gm14344,,keep as is,,Absent in Refseq and overlaps with Gm gene exon that is on Refseq,
Gm14343,1,Bhlhe23,,keep as is,,Exon overlaps,
Gm14344,1,Gm14339,,keep as is,,,
Gm14376,1,Cttn,,keep as is,,Nested gene,
Gm14640,1,Gm14266,,keep as is,,Nested gene,
Gm14696,1,Gm14697,,keep as is,,Weird interleaved structure.,
Gm14697,1,Gm14696,,keep as is,,Weird interleaved structure.,
Gm14809,1,Gm14812,,keep as is,,,
Gm14812,1,Gm14809,,keep as is,,,
Gm15123,1,Gm15124,,Delete,,Absent in Refseq and completely overlaps with Gm15124.,
Gm15124,1,Gm15123,,keep as is,,,
Gm15286,1,Gm10198,,keep as is,,Nested gene,
Gm15338,1,Hs3st4,,keep as is,,Nested gene,
Gm15344,1,Hsp90b1,,keep as is,,Nested gene,
Gm15397,1,Pcdh15,,keep as is,,,
Gm15404,1,Gm49991,,keep as is,,single transcript,
Gm15410,1,Gm42791,,keep as is,,,
Gm15411,1,Gm15406,,keep as is,,,
Gm15416,1,Gm44633,,keep as is,,single transcript,
Gm15444,1,Bola1,,keep as is,,Downstream gene fixed,
Gm15445,1,Arl8a,,keep as is,,Nested gene,
Gm15472,1,Ptpn22,,keep as is,,,
Gm15479,1,Rgl1,,keep as is,,,
Gm15503,1,Rgs10,,keep as is,,Nested gene,
Gm15507,1,Nr2e3,,keep as is,,Exon overlaps but only with 5' protein coding gene exons so leaving as is.,
Gm15509,1,Spata17,,keep as is,,Nested gene,
Gm15513,1,Zfyve28,,keep as is,,,
Gm15521,1,Ntm,,keep as is,,Leaving as is. No read mapping. Effectively silent,
Gm15527,1,9130019P16Rik,,premature transcripts deleted,"Gm15527-201, Gm15527-202",,
Gm15535,1,Gm37240,,keep as is,,,
Gm15562,1,Samd4,,keep as is,,Nested gene,
Gm15582,1,Fgfr2,,keep as is,,,
Gm15601,1,Gm49124,,keep as is,,,
Gm15606,1,Opcml,,keep as is,,Leaving as is.,
Gm15634,1,Cfap97,,keep as is,,,
Gm15672,1,Prkar1b,,keep as is,,,
Gm15680,1,Cdh8,,keep as is,,Weird interleaved structure,
Gm15708,1,Bri3,,keep as is,,,
Gm15718,1,Fgfr2,,keep as is,,,
Gm15742,1,Xxylt1,,keep as is,,Nested gene,
Gm15751,1,B3gnt4,,keep as is,,Nested gene,
Gm15802,1,Igsf11,,readthrough transcripts deleted,Gm15802-202,,
Gm15809,1,Phactr1,,keep as is,,Nested gene,
Gm15832,1,Rnf149,,Delete,,Exon overlaps with protein coding gene. Absent in Refseq,
Gm15859,1,Hmox2,,keep as is,,Nested gene,
Gm15888,1,A230056P14Rik,,Delete,,Not present in Refseq. Overlapping Rik gene model is.,
Gm15902,1,Stxbp6,,keep as is,,Nested gene,
Gm15903,1,Nipsnap2,,keep as is,,,
Gm15940,1,Ncald,,keep as is,,,
Gm15941,1,Ncald,,keep as is,,,
Gm15979,1,Rcan3,,keep as is,,Nested gene,
Gm15995,1,Apopt1,,Delete,,Absent in Refseq. Deleted since overlaps with exon of protein coding gene.,
Gm16014,1,Cd38,,keep as is,,Nested gene,
Gm16023,1,Gm10563,,keep as is,,,
Gm16024,1,Slc35e2,,keep as is,,Absent in Refseq. Leave as is,
Gm16033,1,Gm16034,,Delete,,Absent in Refseq. Completely overlaps with Gm16034,
Gm16034,1,Gm16033,,keep as is,,,
Gm16076,1,Erbb4,,keep as is,,Nested gene,
Gm16126,1,Gm16127,,keep as is,,,
Gm16127,1,Gm16126,,keep as is,,,
Gm16131,1,Stra6,,keep as is,,Absent in Refseq. Leave as is,
Gm16132,1,Fancc,,keep as is,,,
Gm16135,1,Rufy2,,keep as is,,Nested gene,
Gm16155,1,Tmcc3,,keep as is,,Nested gene,
Gm16213,1,Pigk,,keep as is,,,
Gm16226,1,4930522N08Rik,,keep as is,,,
Gm16227,1,Rasgef1b,,keep as is,,Retaining as Refseq has it.,
Gm16231,1,Pigk,,keep as is,,,
Gm16286,1,Txnl4a,,keep as is,,,
Gm16306,1,Smim17,,keep as is,,,
Gm16310,1,Mrps6,,keep as is,,Nested gene,
Gm16321,1,Grip1os3,,keep as is,,Nested gene,
Gm16349,1,Phlpp2,,keep as is,,,
Gm16499,1,Gm16499,,keep as is,,,
Gm16499,1,Gm16499,,transcripts deleted,"Gm16499-202, Gm16499-203",two gene_ids correspond to a single gene,
Gm16534,1,Fam78a,,keep as is,,,
Gm16540,1,4933434E20Rik,,keep as is,,,
Gm16565,1,Cd247,,keep as is,,"Exon overlaps with 5' exon of protein coding gene, but not a major issue.",
Gm16582,1,Cdk5r2,,keep as is,,Contains nested genes,
Gm16701,1,Gm16701,,transcripts deleted,Gm16701-201,,
Gm16701,1,Gm16701,,keep as is,,two gene_ids correspond to a single gene,
Gm16751,1,Zhx3,,keep as is,,,
Gm17021,1,Fyco1,,keep as is,,Exon slightly overlap with that of protein coding gene but not a major issue.,
Gm17024,1,Ifrd1,,keep as is,,Nested gene,
Gm17028,1,Alx1,,keep as is,,Exons overlapping with 5' exon of protein coding gene but not a major issue.,
Gm17066,1,Rbm26,,keep as is,,Upstream gene fixed,
Gm17077,1,Gm4673,,keep as is,,,
Gm17096,1,Cse1l,,keep as is,,Absent in Refseq. Leave as is,
Gm17105,1,Dlg5,,keep as is,,Absent in Refseq. Leave as is,
Gm17106,1,Iqcg,,keep as is,,Contains nested gene,
Gm17108,1,Srd5a1,,keep as is,,"Exon overlaps with 5' exon of coding gene, which is not a major issue.",
Gm17114,1,Ccdc24,,keep as is,,Exon slightly overlaps with one of protein coding gene's exon. Not present in Refseq. Leaving as is though.,
Gm17134,1,Plppr3,,keep as is,,Nested gene,
Gm17146,1,Rit1,,keep as is,,Nested gene,
Gm17191,1,Synj2bp,,keep as is,,Only one transcript,
Gm17193,1,Arel1,,keep as is,,Nested gene,
Gm17200,1,Ccr9,,keep as is,,Downstream gene fixed,
Gm17207,1,Fryl,,keep as is,,Absent in Refseq. Leaving intact but techincally blind.,
Gm17233,1,Rb1,,keep as is,,Single transcript,
Gm17322,1,Cyp11a1,,keep as is,,Special case,
Gm17349,1,Gm34939,,keep as is,,,
Gm17482,1,Syn2,,Delete,,Absent in Refseq. Seriously distorts the overlapping protein coding gene's read mapping.,
Gm17491,1,Slc20a2,,keep as is,,Nested gene,
Gm17522,1,CR974488.1,,keep as is,,Overlapping gene was discontinued in new nomenclature,
Gm17657,1,Tmem217,,keep as is,,Only 5' exons overlap,
Gm17751,1,Gm29069,,keep as is,,,
Gm19409,1,Mapre3,,keep as is,,Nested gene,
Gm19872,1,Gm2694,,keep as is,,Downstream gene fixed,
Gm19938,1,Xkr4,,keep as is,,Nested gene,
Gm19950,1,Gm45792,,keep as is,,,
Gm19967,1,Rabep1,,keep as is,,Nested gene,
Gm20075,1,Sv2c,,keep as is,,Nested gene,
Gm20274,1,Rbbp6,,keep as is,,Nested gene,
Gm20342,1,Ino80dos,,keep as is,,Nested gene,
Gm20394,1,Hap1,,keep as is,,Nested gene,
Gm20403,1,Baz1a,,keep as is,,Overlaps with protein coding gene exon. Absent in Refseq. Leaving in but practically not detectable due to overlap with Baz1a gene 5' exon.,
Gm20405,1,Efr3a,,keep as is,,Absent in Refseq. Leave as is,
Gm20412,1,Rprd1b,,keep as is,,Upstream gene fixed,
Gm20475,1,Slit2,,keep as is,,Absent in Refseq. Leave as is,
Gm20485,1,Col26a1,,keep as is,,,
Gm20500,1,Shroom3,,keep as is,,Absent in Refseq. Leave as is,
Gm20528,1,Dnajb3,,keep as is,,Contains nested genes,
Gm20535,1,Itgb1bp1,,keep as is,,Absent in Refseq. No reads mapping. Leaving as is but effectively blind.,
Gm20621,1,Ttll8,,keep as is,,Exons overlapping,
Gm20635,1,Gm42504,,keep as is,,,
Gm20646,1,Pou3f3,,keep as is,,Contains nested genes,
Gm20682,1,Foxn3,,keep as is,,Absent in Refseq. Leaving intact but technically blind.,
Gm20688,1,Apol7a,,keep as is,,Nested gene,
Gm20705,1,Foxp1,,keep as is,,Absent in Refseq. Leaving intact but technically blind.,
Gm20707,1,Zfp984,,keep as is,,Exons overlap with 5' exons of protein coding gene so ok.,
Gm20754,1,Gm38353,,keep as is,,,
Gm20772,1,Gm20831,,keep as is,,,
Gm21083,1,Gm21847,,keep as is,,,
Gm21293,1,Gm6763,,readthrough transcripts deleted,Gm21293-201,,
Gm21440,1,Gm21454,,keep as is,,,
Gm21454,1,Gm21440,,premature transcripts deleted,Gm21454-201,,
Gm21704,1,Gm21708,,readthrough transcripts deleted,Gm21704-201,,
Gm21708,1,Gm21704,,keep as is,,,
Gm21817,1,Crnde,,keep as is,,Nested gene,
Gm21830,1,Xirp2,,keep as is,,Nested gene,
Gm21905,1,4930425K10Rik,,keep as is,,,
Gm2350,1,Mkx,,keep as is,,Exons slightly overlap but doesn't appear to be a big problem,
Gm23925,1,Snhg17,,keep as is,,Removed transcripts from overlapping gene.,
Gm24362,1,Eloa,,keep as is,,Nested gene,
Gm24474,1,Gm48866,,keep as is,,,
Gm26513,1,Pfkm,,keep as is,,,
Gm26543,1,Grik2,,keep as is,,Nested gene,
Gm26575,1,Gm10125,,keep as is,,Nested gene,
Gm266,1,Gm40578,,keep as is,,,
Gm26618,1,AU022751,,keep as is,,Contains nested genes,
Gm26638,1,Tmem178b,,keep as is,,Nested gene,
Gm26645,1,Gm6556,,keep as is,,,
Gm26660,1,Zmiz1os1,,keep as is,,,
Gm26791,1,1700044C05Rik,,keep as is,,,
Gm26862,1,Fam181b,,keep as is,,Contains nested genes,
Gm26871,1,Gm9916,,keep as is,,,
Gm26910,1,4930549G23Rik,,keep as is,,,
Gm26930,1,Gm4258,,keep as is,,Nested gene,
Gm26935,1,Tmem147os,,keep as is,,Single transcript,
Gm2694,1,Gm19872,,premature transcripts deleted,Gm2694-209,,
Gm26967,1,Pdilt,,keep as is,,Absent in Refseq. Leaving as is.,
Gm26968,1,Ccdc171,,keep as is,,Refseq absent,
Gm26971,1,Gse1,,keep as is,,Nested gene,
Gm26973,1,C87198,,keep as is,,Contains nested genes,
Gm26978,1,Rbpms,,keep as is,,Nested gene,
Gm26984,1,Rxfp1,,Delete,,Absent in RefSeq,
Gm27002,1,Osbpl10,,keep as is,,Nested gene,
Gm27010,1,Dleu2,,keep as is,,Nested gene,
Gm27195,1,Pitx2,,keep as is,,Absent in Refseq. Leaving as is,
Gm27206,1,Zhx3,,keep as is,,,
Gm2788,1,Nav2,,keep as is,,,
Gm28040,1,Kiss1,,Delete,,Exons overlapping with protein coding gene.,
Gm28096,1,Junos,,keep as is,,,
Gm28112,1,Ikzf2,,keep as is,,Nested gene,
Gm28119,1,Mir100hg,,keep as is,,,
Gm28151,1,Slc39a10,,keep as is,,Nested gene,
Gm28271,1,1700063O14Rik,,keep as is,,Contains nested genes,
Gm28277,1,Ipo9,,keep as is,,Nested gene,
Gm28306,1,Ccdc115,,keep as is,,Exons overlap with 5' exon of protein coding gene. Ok so leaving.,
Gm28320,1,Tmeff2,,keep as is,,,
Gm28322,1,Tmeff2,,keep as is,,,
Gm28323,1,Myo1b,,keep as is,,,
Gm28411,1,1700122D07Rik,,keep as is,,,
Gm28492,1,Gm13974,,keep as is,,,
Gm28499,1,Agap1,,keep as is,,Refseq has it. Nested gene,
Gm28512,1,Rnasel,,keep as is,,Nested gene,
Gm28586,1,Nck1,,keep as is,,Absent in Refseq,
Gm28710,1,Gm28710,,transcripts deleted,Gm28710-201,,
Gm28710,1,Gm28710,,keep as is,,two gene_ids correspond to a single gene,
Gm28760,1,Pitx1,,keep as is,,Exon overlaps with 5' exon of protein coding gene so ok.,
Gm28791,1,Smg7,,keep as is,,Nested gene,
Gm28792,1,Rgl1,,keep as is,,,
Gm28941,1,Mff,,keep as is,,Nested gene,
Gm28967,1,Ncapd2,,keep as is,,Exon overlaps,
Gm29015,1,Mhrt,,keep as is,,Nested gene,
Gm29019,1,Tcf20,,keep as is,,Nested gene,
Gm29055,1,Dis3l2,,keep as is,,Nested gene,
Gm29069,1,Gm17751,,keep as is,,,
Gm29093,1,Abhd17a,,keep as is,,Nested gene.,
Gm29101,1,Twist2,,keep as is,,Nested gene.,
Gm29112,1,Ikzf2,,keep as is,,Nested gene.,
Gm2916,1,Gm3002,,keep as is,,,
Gm29170,1,Uchl5,,keep as is,,Nested gene.,
Gm29183,1,6030407O03Rik,,keep as is,,,
Gm29254,1,Magi2,,Delete,,Absent in Refseq. Exon overlaps terminal exon of protein coding gene.,
Gm29295,1,Gm29328,,keep as is,,Single transcript,
Gm29322,1,Peak1,,keep as is,,Absent in Refseq. Leaving as is.,
Gm29327,1,Gm29683,,keep as is,,,
Gm29328,1,Gm29295,,keep as is,,,
Gm29358,1,Pnkd,,keep as is,,Nested gene,
Gm29362,1,Alkbh1,,keep as is,,Nested gene,
Gm29388,1,Ephb1,,keep as is,,Nested gene,
Gm29430,1,Hoxaas3,,keep as is,,Nested gene,
Gm29453,1,Myo1b,,keep as is,,Nested gene,
Gm29488,1,Srgap2,,keep as is,,Nested gene,
Gm29506,1,4933415F23Rik,,keep as is,,,
Gm29540,1,A830009L08Rik,,keep as is,,Nested gene,
Gm29670,1,Mfsd6,,keep as is,,Nested gene,
Gm29683,1,Gm29327,,keep as is,,,
Gm29684,1,Gm33091,,keep as is,,,
Gm29695,1,Lemd1,,keep as is,,Retaining as Refseq has it,
Gm29737,1,Gm5784,,keep as is,,,
Gm30074,1,Gm37202,,keep as is,,,
Gm30124,1,Asap2,,keep as is,,5' exon overlap but looks ok.,
Gm3029,1,Gm3002,,keep as is,,,
Gm3033,1,Gm3002,,keep as is,,,
Gm30409,1,Aopep,,keep as is,,,
Gm3095,1,Gm3002,,keep as is,,,
Gm31135,1,Gm45076,,keep as is,,,
Gm31224,1,Gm45812,,keep as is,,,
Gm31615,1,1700116H05Rik,,keep as is,,,
Gm3164,1,Gm3173,,keep as is,,,
Gm31641,1,Gm49643,,keep as is,,,
Gm3182,1,Gm3173,,keep as is,,,
Gm32061,1,Mkrn3,,keep as is,,Contains nested genes,
Gm32283,1,Gm40604,,keep as is,,,
Gm32849,1,Nav2,,keep as is,,,
Gm3285,1,Tspear,,keep as is,,,
Gm33091,1,Gm29684,,keep as is,,,
Gm33248,1,Gm39094,,keep as is,,,
Gm3364,1,Ldb2,,keep as is,,Nested gene,
Gm3373,1,Gm3383,,keep as is,,,
Gm33782,1,Gm48427,,keep as is,,Interleaved structure,
Gm33843,1,Gm48505,,keep as is,,,
Gm33914,1,4933433G08Rik,,keep as is,,,
Gm3448,1,Tcte3,,readthrough transcripts deleted,Gm3448-201,,
Gm34481,1,F930017D23Rik,,keep as is,,,
Gm34549,1,Gm44886,,keep as is,,,
Gm34552,1,Gm11042,,keep as is,,,
Gm34599,1,Sox2ot,,keep as is,,,
Gm34680,1,Zdhhc19,,keep as is,,Ok after upstream gene fixed. Special case.,
Gm34728,1,1700017L05Rik,,keep as is,,Contains nested genes,
Gm3476,1,Gm3468,,premature transcripts deleted,Gm3476-203,,
Gm34811,1,Gm44748,,keep as is,,,
Gm34908,1,Fgfr2,,keep as is,,,
Gm34923,1,Gm47859,,keep as is,,,
Gm34939,1,Gm17349,,keep as is,,,
Gm35077,1,Vmn1r31,,keep as is,,,
Gm3513,1,Fnip2,,keep as is,,Absent in Refseq and no reads mapping. Leaving in tact but techincally blind.,
Gm35147,1,Fgfr2,,keep as is,,,
Gm35154,1,Gm48066,,keep as is,,,
Gm35206,1,Gm47578,,keep as is,,,
Gm35867,1,Kazald1,,keep as is,,,
Gm36176,1,Tspear,,keep as is,,,
Gm36287,1,Gm47705,,keep as is,,,
Gm36346,1,A330033J07Rik,,keep as is,,,
Gm36988,1,Frmd4a,,keep as is,,,
Gm37062,1,Rev1,,keep as is,,Absent in Refseq.,
Gm37107,1,Frmd4a,,keep as is,,,
Gm37202,1,Gm30074,,keep as is,,,
Gm37214,1,Hhipl2,,keep as is,,Nested gene,
Gm37328,1,Rabgap1l,,keep as is,,,
Gm37525,1,Olah,,keep as is,,Absent in Refseq. Leaving as is.,
Gm37529,1,Rabgap1l,,keep as is,,,
Gm37573,1,Nlgn1,,keep as is,,,
Gm37612,1,Dcaf1,,keep as is,,,
Gm37864,1,Dcaf6,,keep as is,,Absent in Refseq. Leaving as is.,
Gm37963,1,Usp4,,keep as is,,Nested gene.,
Gm38028,1,Gm20831,,keep as is,,,
Gm38085,1,Frmd4a,,keep as is,,,
Gm38097,1,Gm10544,,keep as is,,Nested gene.,
Gm38115,1,Tmem131,,keep as is,,Nested gene.,
Gm38139,1,Erich3,,keep as is,,,
Gm38163,1,P4htm,,keep as is,,Nested gene.,
Gm38190,1,Tiprl,,keep as is,,Nested gene,
Gm38348,1,Frmd4a,,keep as is,,,
Gm38353,1,Gm20754,,keep as is,,,
Gm38389,1,C230014O12Rik,,keep as is,,Special case,
Gm38642,1,Gm47059,,keep as is,,,
Gm39038,1,Ntrk3,,keep as is,,Nested gene,
Gm39094,1,Gm33248,,keep as is,,,
Gm39325,1,Gm49380,,keep as is,,,
Gm3952,1,Ccdc7a,,Delete,,Exons overlap with protein coding gene's exons. Absent in RefSeq.,
Gm40190,1,Bcar3,,keep as is,,Downstream gene fixed,
Gm40438,1,4930404H11Rik,,keep as is,,,
Gm40578,1,Gm266,,keep as is,,,
Gm40604,1,Gm32283,,keep as is,,,
Gm40655,1,Calm4,,keep as is,,Contains nested genes,
Gm40910,1,Gm48629,,keep as is,,,
Gm41148,1,Gm49302,,keep as is,,,
Gm41495,1,Gm41496,,keep as is,,,
Gm41496,1,Gm41495,,keep as is,,,
Gm41545,1,Gm50057,,keep as is,,,
Gm41555,1,Cuta,,keep as is,,Exons overlapping. Minor overlap so leaving as is.,
Gm41693,1,Gm50399,,keep as is,,,
Gm41819,1,Gm50134,,keep as is,,,
Gm42463,1,Tdrkh,,keep as is,,Nested gene,
Gm42489,1,C130026L21Rik,,keep as is,,,
Gm42504,1,Gm20635,,keep as is,,Nested gene,
Gm42531,1,Brca2,,keep as is,,,
Gm42555,1,Fbxl5,,keep as is,,,
Gm42558,1,Rxfp2,,keep as is,,,
Gm42658,1,Capza1,,keep as is,,,
Gm42659,1,Capza1,,keep as is,,,
Gm42664,1,Ptbp2,,keep as is,,Nested gene,
Gm42679,1,Ngf,,keep as is,,Nested gene,
Gm42696,1,Magi3,,keep as is,,,
Gm42699,1,Magi3,,keep as is,,,
Gm42700,1,Magi3,,keep as is,,,
Gm42701,1,Magi3,,keep as is,,,
Gm42702,1,Magi3,,keep as is,,,
Gm42705,1,Gm42706,,keep as is,,,
Gm42706,1,Gm42705,,keep as is,,,
