genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments
AL355974.2,1,AL390755.1,,keep as is,,
AL356017.1,1,CLMN,,Delete,,overlaps with protein coding gene exon.
AL356019.2,1,TTC5,,Delete,,overlaps with protein coding gene exon.
AL356055.1,1,MACF1,,keep as is,,
AL356124.1,1,AL356124.2,,keep as is,,
AL356124.2,1,AL356124.1,,keep as is,,
AL356234.2,1,AL356234.3,,keep as is,,
AL356234.3,1,AL356234.2,,keep as is,,
AL356277.2,1,AL357507.1,,keep as is,,
AL356295.1,1,AL450423.1,,keep as is,,
AL356299.2,1,AHCY,,keep as is,,
AL356481.2,1,SPTAN1,,keep as is,,
AL356740.2,1,MCF2L,,keep as is,,
AL356740.3,1,MCF2L,,keep as is,,
AL356752.1,1,ATP11A,,keep as is,,
AL356753.1,1,ZMIZ1-AS1,,keep as is,,
AL356961.1,1,SOX1-OT,,keep as is,,
AL356966.1,1,GGACT,,Delete,,Absent in Refseq. Exons overlap with protein coding gene's exons.
AL357054.2,1,AL357054.3,,keep as is,,
AL357054.3,1,AL357054.2,,keep as is,,
AL357078.2,1,JAK1,,keep as is,,
AL357093.1,1,AL357093.2,,keep as is,,
AL357093.2,1,AL357093.1,,keep as is,,
AL357140.2,1,NMNAT1,,keep as is,,
AL357153.2,1,ADAM20,,keep as is,,
AL357315.1,1,HACE1,,keep as is,,
AL357507.1,1,AL356277.2,,keep as is,,
AL357552.2,1,RERE,,keep as is,,
AL357568.2,1,PBX1,,keep as is,,
AL357793.1,1,AL136456.1,,keep as is,,
AL358176.4,1,GREM2,,keep as is,,
AL358780.1,1,MLLT10,,keep as is,,
AL359091.3,1,URM1,,Delete,,Nomenclature has changed.
AL359091.5,1,CERCAM,,keep as is,,
AL359094.1,1,AL359094.2,,transcripts deleted,AL359094.1-208,
AL359094.2,1,AL359094.1,,keep as is,,One transcript
AL359095.1,1,GLIS3,,keep as is,,
AL359237.1,1,GALC,,keep as is,,
AL359380.1,1,MLIP,,keep as is,,
AL359436.1,1,AL136964.1,,keep as is,,
AL359475.1,1,LRFN2,,keep as is,,
AL359532.1,1,ZNF438,,keep as is,,
AL359555.2,1,AL359555.4,,keep as is,,
AL359555.4,1,AL359555.2,,keep as is,,
AL359649.1,1,LINC02337,,keep as is,,
AL359697.1,1,DNAJC1,,keep as is,,
AL359706.1,1,NUFIP1,,keep as is,,
AL359710.1,1,STX17-AS1,,keep as is,,
AL359880.1,1,LRCH1,,keep as is,,
AL359921.1,1,HEATR1,,Delete,,Overlaps with exon
AL360091.1,1,PPP2R5A,,keep as is,,
AL360091.2,1,PPP2R5A,,keep as is,,
AL360157.1,1,LINC02542,,keep as is,,
AL360169.2,1,TULP4,,keep as is,,
AL360181.2,1,TUBGCP2,,keep as is,,
AL360267.1,1,MIR4500HG,,Delete,,Overlaps with exon
AL365273.1,1,ENTPD1,,Delete,,Overlaps with exon
AL365436.2,1,TUFT1,,keep as is,,
AL390195.1,1,WDR77,,Delete,,Overlaps with exon
AL390294.1,1,GATA3,,keep as is,,
AL390755.1,1,AL355974.2,,keep as is,,
AL390856.1,1,LINC01344,,keep as is,,
AL390860.1,1,OR14K1,,keep as is,,
AL390862.1,1,LINC02653,,keep as is,,
AL390961.2,1,PDSS1,,keep as is,,
AL391001.1,1,PBX1,,keep as is,,
AL391261.2,1,AL391261.4,,keep as is,,
AL391261.4,1,AL391261.2,,keep as is,,
AL391645.1,1,LINC01351,,keep as is,,one transcript
AL391704.1,1,AL391704.2,,keep as is,,
AL391704.2,1,AL391704.1,,keep as is,,
AL391987.2,1,FAM27C,,keep as is,,
AL391987.3,1,FAM27C,,keep as is,,
AL392083.1,1,ADARB2,,keep as is,,
AL392083.2,1,ADARB2,,keep as is,,
AL392089.1,1,KANK1,,keep as is,,
AL442067.1,1,RAP2A,,keep as is,,
AL442067.2,1,RAP2A,,keep as is,,
AL442125.1,1,TMCO3,,keep as is,,
AL442125.2,1,TMCO3,,keep as is,,
AL442163.1,1,AL450442.1,,keep as is,,
AL445209.1,1,OBI1-AS1,,keep as is,,
AL445222.1,1,GARNL3,,keep as is,,
AL445223.1,1,FARP1,,keep as is,,
AL445430.1,1,AL445430.2,,keep as is,,
AL445430.2,1,AL445430.1,,keep as is,,
AL445623.1,1,AL445623.2,,keep as is,,
AL445623.2,1,AL445623.1,,keep as is,,
AL445645.1,1,AK8,,keep as is,,
AL445649.1,1,FAM155A,,keep as is,,
AL445985.1,1,SPATA13,,Delete,,Overlaps with protein coding gene's exons
AL449403.1,1,ERCC6L2,,keep as is,,
AL449423.1,1,CDKN2B-AS1,,keep as is,,
AL450344.1,1,PLEKHG1,,keep as is,,
AL450344.3,1,PLEKHG1,,keep as is,,
AL450384.1,1,AL450384.2,,keep as is,,
AL450423.1,1,AL356295.1,,keep as is,,
AL450442.1,1,AL442163.1,,keep as is,,
AL451123.2,1,MOB3B,,keep as is,,
AL499604.1,1,TRMO,,keep as is,,
AL512283.1,1,PKIB,,keep as is,,
AL512328.1,1,AGT,,keep as is,,
AL512366.1,1,A1CF,,keep as is,,
AL512506.1,1,CCDC122,,keep as is,,
AL512652.1,1,EEF1AKMT1,,keep as is,,
AL513122.2,1,GSN-AS1,,keep as is,,
AL513128.1,1,SPAG6,,keep as is,,
AL513128.2,1,AL513128.3,,keep as is,,
AL513128.3,1,AL513128.2,,keep as is,,
AL513304.1,1,ADARB2,,keep as is,,
AL513327.3,1,ZNF362,,keep as is,,
AL513412.1,1,KDM4C,,keep as is,,
AL513477.2,1,MORN1,,keep as is,,
AL513523.3,1,AL513523.4,,keep as is,,
AL513523.4,1,AL513523.3,,keep as is,,
AL583805.2,1,PTPRD,,keep as is,,
AL589739.1,1,MORN1,,keep as is,,
AL589745.2,1,SMIM2-AS1,,keep as is,,
AL589765.2,1,OAZ3,,Delete,,Overlaps with protein coding gene's exons
AL589765.5,1,AL589765.4,,keep as is,,
AL589863.1,1,LRMDA,,keep as is,,
AL589863.2,1,LRMDA,,keep as is,,
AL589986.2,1,FLG-AS1,,keep as is,,
AL590093.1,1,FAM151A,,keep as is,,
AL590302.1,1,PDE10A,,keep as is,,
AL590999.1,1,MOCS1,,Delete,,Overlaps with protein coding gene's exons
AL591178.1,1,AL591178.2,,keep as is,,
AL591178.2,1,AL591178.1,,keep as is,,
AL591623.1,1,CNST,,keep as is,,
AL591686.1,1,AL591686.2,,keep as is,,
AL591686.2,1,AL591686.1,,keep as is,,
AL591742.2,1,OLFML3,,keep as is,,
AL591895.1,1,TMEM63A,,Delete,,Overlaps with protein coding gene's exons
AL592295.3,1,AL831711.1,,keep as is,,
AL592295.4,1,AL592295.5,,keep as is,,
AL592295.5,1,AL592295.4,,keep as is,,
AL592431.1,1,AL592431.2,,keep as is,,
AL592431.2,1,AL592431.1,,keep as is,,
AL592435.1,1,RGS5,,keep as is,,
AL596087.3,1,FAM78B,,keep as is,,
AL596202.1,1,TFB1M,,Delete,,Overlaps with protein coding gene's exons
AL596247.1,1,VCL,,keep as is,,
AL596325.2,1,UAP1,,keep as is,,
AL603840.1,1,LINC01755,,keep as is,,
AL603962.1,1,NMNAT1,,Delete,,Overlaps with protein coding gene's exons
AL604028.1,1,IPP,,Delete,,Overlaps with protein coding gene's exons
AL606834.1,1,SAV1,,keep as is,,
AL606834.2,1,NIN,,keep as is,,
AL606970.1,1,DACT2,,keep as is,,
AL627309.1,1,AL627309.3,,readthrough tr. deleted,AL627309.1-201,
AL627309.3,1,AL627309.1,,keep as is,,
AL645465.1,1,ADSS,,Delete,,Overlaps protein coding gene exon
AL645504.1,1,IPO9-AS1,,keep as is,,
AL645608.5,1,AGRN,,Delete,,Overlaps protein coding gene exon
AL645634.1,1,ZNF32-AS3,,keep as is,,
AL645924.1,1,RNF4,,keep as is,,
AL645941.1,1,BRD2,,Delete,,Overlaps protein coding gene exon
AL646090.1,1,AL646090.2,,keep as is,,
AL646090.2,1,AL646090.1,,keep as is,,
AL662791.1,1,HCG15,,keep as is,,
AL662884.1,1,PBX2,,Delete,,Overlaps protein coding gene exon
AL662884.3,1,PRRT1,,keep as is,,
AL662889.1,1,AKT3,,Delete,,Absent in Refseq. Obscures mapping to protein coding gene.
AL683887.1,1,LINC02607,,keep as is,,
AL691459.1,1,TRABD2B,,Delete,,Overlaps protein coding gene exon
AL691482.3,1,ELF3,,Delete,,Nomenclature changed
AL713998.3,1,AL713998.4,,keep as is,,
AL713998.4,1,AL713998.3,,keep as is,,
AL731559.1,1,CAMK1D,,keep as is,,
AL731568.1,1,LRMDA,,keep as is,,
AL731577.2,1,ZRANB1,,keep as is,,
AL731661.1,1,AL672310.1,,keep as is,,
AL731769.1,1,AL731769.2,,keep as is,,
AL731769.2,1,AL731769.1,,keep as is,,
AL732437.1,1,CALML3-AS1,,keep as is,,
AL807757.1,1,AOPEP,,keep as is,,
AL807757.2,1,AOPEP,,keep as is,,
AL831711.1,1,AL592295.3,,keep as is,,
AL844908.2,1,ITGB2,,keep as is,,
AL929236.1,1,PTPN14,,Delete,,Overlaps protein coding gene exon
ALDOA,1,AC093512.2,,keep as is,,
ALDOC,1,AC005726.1,,keep as is,,
ALG1,1,NAGPA-AS1,,premature tr. deleted,"ALG1-204, ALG1-209",
ALG11,1,UTP14C,,RENAME,,"Rename to ""ALG11-UTP14C"""
ALG1L2,1,LINC02021,,keep as is,,
ALG9,1,ALG9-IT1,,keep as is,,
ALG9-IT1,1,ALG9,,keep as is,,
ALK,1,AC016907.2,,keep as is,,
ALMS1-IT1,1,ALMS1,,keep as is,,
ALPK2,1,AC105105.3,,keep as is,,
AMIGO3,1,GMPPB,,keep as is,,
AMMECR1,1,AMMECR1-IT1,,keep as is,,
AMMECR1-IT1,1,AMMECR1,,keep as is,,
AMN,1,AL117209.1,,keep as is,,
AMPD2,1,GNAI3,,keep as is,,really minor overlap
AMY2B,1,RNPC3,,premature tr. deleted,"AMY2B-201, AMY2B-205",
ANAPC1,1,AC017002.6,,keep as is,,
ANAPC10,1,AC098588.3,,keep as is,,
ANAPC11,1,NPB,,keep as is,,
ANG,1,RNASE4,,keep as is,,terminal exons are fine
ANGEL1,1,VASH1-AS1,,keep as is,,
ANK1,1,AC027702.1,,keep as is,,
ANKEF1,1,PARAL1,,premature tr. deleted,ANKEF1-203,
ANKRD10,1,ANKRD10-IT1,,keep as is,,
ANKRD10-IT1,1,ANKRD10,,keep as is,,
ANKRD11,1,AC092120.1,,keep as is,,
ANKRD12,1,AP001033.2,,keep as is,,
ANKRD13A,1,AC007546.1,,keep as is,,
ANKRD13B,1,ABHD15-AS1,,keep as is,,
ANKRD20A2,1,BX664727.3,,keep as is,,
ANKRD23,1,ANKRD39,,keep as is,,
ANKRD30A,1,AL157387.1,,keep as is,,
ANKRD39,1,ANKRD23,,readthrough tr. deleted,ANKRD39-202,
ANKRD44,1,ANKRD44-IT1,,keep as is,,
ANKRD44-IT1,1,ANKRD44,,keep as is,,
ANKRD63,1,PLCB2,,keep as is,,
ANKUB1,1,PFN2,,premature tr. deleted,ANKUB1-207,
ANO1,1,AP000879.2,,keep as is,,
ANO6,1,AC009248.2,,keep as is,,
ANXA2R,1,AC025171.1,,keep as is,,
AOAH,1,AOAH-IT1,,keep as is,,
AOAH-IT1,1,AOAH,,keep as is,,
AP000229.1,1,AP001439.1,,keep as is,,
AP000235.1,1,LINC01692,,keep as is,,
AP000322.2,1,SMIM11A,,keep as is,,
AP000355.1,1,UPB1,,keep as is,,
AP000424.1,1,AP000424.2,,keep as is,,
AP000424.2,1,AP000424.1,,keep as is,,
AP000465.1,1,CADM1,,keep as is,,
AP000471.1,1,PCNT,,keep as is,,"single transcript, but other gene has no good candidates to delete"
AP000487.2,1,AP002336.2,,keep as is,,
AP000525.1,1,DUXAP8,,keep as is,,
AP000654.1,1,PRSS23,,keep as is,,
AP000662.1,1,CLP1,,keep as is,,
AP000688.1,1,SETD4,,keep as is,,
AP000692.1,1,MORC3,,keep as is,,
AP000695.1,1,AP000695.2,,keep as is,,
AP000695.2,1,AP000695.1,,keep as is,,
AP000696.2,1,CLDN14,,Delete,,Overlaps with exon
AP000755.1,1,MIR100HG,,keep as is,,
AP000777.2,1,AP000777.3,,keep as is,,
AP000786.1,1,MRE11,,keep as is,,
AP000793.1,1,MIR4300HG,,keep as is,,
AP000812.4,1,LRTOMT,,Delete,,Overlaps with exon
AP000820.1,1,AP000820.2,,keep as is,,
AP000820.2,1,AP000820.1,,keep as is,,
AP000864.1,1,MTCL1,,keep as is,,
AP000866.6,1,MSANTD2,,keep as is,,
AP000873.2,1,PCF11-AS1,,keep as is,,
AP000873.4,1,PCF11,,Delete,,Overlaps with exon
AP000879.2,1,ANO1,,keep as is,,
AP000892.3,1,BACE1,,keep as is,,
AP000894.2,1,AP000894.3,,keep as is,,
AP000894.3,1,AP000894.2,,keep as is,,
AP000897.1,1,PTPRM,,keep as is,,
AP000907.2,1,DIXDC1,,keep as is,,
AP000915.2,1,COLEC12,,keep as is,,
AP000941.1,1,PHLDB1,,keep as is,,
AP000943.1,1,LINC02700,,keep as is,,single transcript
AP001007.3,1,PKNOX2,,keep as is,,
AP001020.2,1,YES1,,keep as is,,
AP001033.2,1,ANKRD12,,keep as is,,
AP001033.3,1,TWSG1,,keep as is,,
AP001056.1,1,GATD3A,,keep as is,,
AP001062.3,1,CFAP410,,Delete,,Overlaps with gene end.
AP001085.1,1,AP001372.1,,keep as is,,
AP001094.2,1,PTPRM,,keep as is,,
AP001107.1,1,AP001107.2,,keep as is,,
AP001107.2,1,AP001107.1,,keep as is,,
AP001160.3,1,TMEM223,,keep as is,,
AP001160.4,1,STX5,,keep as is,,
AP001178.1,1,TYMSOS,,keep as is,,
AP001178.3,1,CLUL1,,Delete,,Obscures gene end
AP001189.5,1,LINC02757,,keep as is,,
AP001267.4,1,ATP5MG,,keep as is,,
AP001271.1,1,SHANK2,,keep as is,,
AP001372.2,1,POLD3,,keep as is,,
AP001372.3,1,AP001372.1,,keep as is,,
AP001429.1,1,TTC3,,keep as is,,
AP001432.1,1,DSCR9,,keep as is,,
AP001437.1,1,AP001437.2,,keep as is,,
AP001437.2,1,AP001437.1,,keep as is,,
AP001439.1,1,AP000229.1,,keep as is,,
AP001453.2,1,PPP1R14B,,Delete,,Overlaps with protein coding gene's exon. Nomenclature has changed.
AP001453.3,1,FKBP2,,Delete,,Absent in Refseq. Overlaps with many exons. ENSEMBL nomenclature changed..
AP001469.2,1,MCM3AP-AS1,,keep as is,,
AP001469.3,1,MCM3AP,,transcripts deleted,AP001469.3-201,
AP001486.2,1,DCUN1D5,,Delete,,Overlaps with protein coding gene's exon.
AP001496.2,1,LINC00526,,keep as is,,
AP001596.1,1,CYYR1-AS1,,keep as is,,
AP001619.1,1,PRDM15,,keep as is,,
AP001625.1,1,SLC37A1,,keep as is,,
AP001625.3,1,SLC37A1,,Delete,,Overlaps with protein coding gene's exon.
AP001893.1,1,RPUSD4,,keep as is,,
AP001922.2,1,MAP6,,keep as is,,
AP001922.3,1,DGAT2,,keep as is,,
AP001922.6,1,MAP6,,keep as is,,
AP001961.1,1,AC097460.1,,keep as is,,
AP002008.3,1,POU2AF1,,keep as is,,
AP002336.1,1,PPFIA1,,keep as is,,
AP002336.3,1,AP002336.2,,keep as is,,
AP002381.2,1,STARD10,,keep as is,,
AP002478.2,1,DLGAP1,,keep as is,,
AP002518.2,1,AP002518.1,,keep as is,,
AP002807.1,1,TCIRG1,,premature tr. deleted,AP002807.1-201,
AP002812.2,1,AP002812.5,,keep as is,,
AP002812.3,1,AAMDC,,keep as is,,
AP002812.5,1,AP002812.2,,keep as is,,
AP002815.1,1,GDPD5,,keep as is,,
AP002833.1,1,KIRREL3,,keep as is,,
AP002840.2,1,TTC12,,keep as is,,single transcript
AP002884.3,1,PTS,,keep as is,,
AP002991.2,1,LINC02698,,keep as is,,
AP003065.2,1,ARAP1-AS1,,keep as is,,
AP003071.1,1,TPCN2,,keep as is,,
AP003086.1,1,AP003086.2,,keep as is,,
AP003086.2,1,AP003086.1,,keep as is,,
AP003117.1,1,CPQ,,keep as is,,
AP003168.2,1,UVRAG,,keep as is,,
AP003170.4,1,ZW10,,keep as is,,
AP003354.1,1,AZIN1-AS1,,keep as is,,
AP003385.3,1,NDUFV1,,Delete,,Overlaps with protein coding gene's exon
AP003396.3,1,USP2-AS1,,keep as is,,
AP003396.5,1,USP2-AS1,,keep as is,,
AP003419.2,1,RAD9A,,keep as is,,
AP003419.3,1,RAD9A,,keep as is,,
AP003471.1,1,DPYS,,keep as is,,
AP003472.1,1,AP003472.2,,keep as is,,
AP003472.2,1,AP003472.1,,keep as is,,
AP003498.1,1,ALG1L9P,,keep as is,,
AP003559.1,1,SYT7,,keep as is,,single transcript
AP005057.1,1,AP005262.2,,keep as is,,
AP005131.6,1,LDLRAD4,,keep as is,,
AP005131.7,1,LDLRAD4,,keep as is,,
AP005136.3,1,METTL4,,keep as is,,
AP005202.1,1,LINC01387,,keep as is,,
AP005432.1,1,RALBP1,,keep as is,,
AP005482.1,1,AP005482.2,,keep as is,,
AP005482.2,1,AP005482.1,,keep as is,,
AP005482.3,1,CEP76,,keep as is,,
AP006248.4,1,SLC7A2,,keep as is,,
AP006259.1,1,DENND5A,,keep as is,,
AP006333.1,1,MACROD1,,keep as is,,
AP006333.2,1,AP000721.2,,keep as is,,
AP006621.2,1,AP006621.3,,keep as is,,
AP006621.3,1,AP006621.2,,keep as is,,
AP1G2,1,JPH4,,premature tr. deleted,AP1G2-201,
AP2B1,1,TAF15,,keep as is,,
AP4B1-AS1,1,AL137856.1,,keep as is,,
APBA1,1,AL355140.1,,keep as is,,
APBA3,1,AC005954.1,,keep as is,,
APCDD1L-DT,1,AL050327.1,,keep as is,,
APLF,1,PROKR1,,readthrough tr. deleted,"APLF-202, APLF-207",
APOBEC3A,1,APOBEC3B,,readthrough tr. deleted,APOBEC3A-205,
APOBEC3B,1,APOBEC3A,,keep as is,,
APOLD1,1,DDX47,,readthrough tr. deleted,"APOLD1-203, APOLD1-204",
AQP4-AS1,1,AC012588.1,,keep as is,,
ARAP1,1,STARD10,,premature tr. deleted,ARAP1-202,
ARAP1-AS1,1,AP003065.2,,keep as is,,
ARF5,1,FSCN3,,keep as is,,
ARFGAP2,1,AC090589.3,,keep as is,,
ARFGAP3,1,PACSIN2,,keep as is,,
ARFGEF1,1,AC021321.2,,keep as is,,
ARHGAP11B,1,AC091057.6,,keep as is,,
ARHGAP15,1,AC092652.3,,keep as is,,
ARHGAP22-IT1,1,ARHGAP22,,keep as is,,
ARHGAP26,1,ARHGAP26-IT1,,keep as is,,
ARHGAP26-IT1,1,ARHGAP26,,keep as is,,
ARHGAP4,1,NAA10,,premature tr. deleted,ARHGAP4-224,
ARHGEF33,1,MORN2,,keep as is,,
ARHGEF38,1,ARHGEF38-IT1,,keep as is,,
ARHGEF38-IT1,1,ARHGEF38,,keep as is,,
ARHGEF4,1,SMIM39,,transcripts deleted,"ARHGEF4-208, ARHGEF4-210",
ARHGEF7,1,ARHGEF7-IT1,,keep as is,,
ARHGEF7-IT1,1,ARHGEF7,,keep as is,,
ARHGEF9,1,ARHGEF9-IT1,,keep as is,,
ARHGEF9-IT1,1,ARHGEF9,,keep as is,,
ARID2,1,AC009464.1,,keep as is,,
ARID3A,1,AC005391.1,,keep as is,,
ARID4B,1,RBM34,,readthrough tr. deleted,ARID4B-211,
ARIH1,1,AC100827.3,,keep as is,,
ARL10,1,HIGD2A,,keep as is,,
ARL17A,1,FAM215B,,transcripts deleted,ARL17A-207,
ARL2BP,1,AC009090.1,,keep as is,,
ARMCX5,1,ARMCX5-GPRASP2,,keep as is,,
ARMH4,1,PSMA3-AS1,,premature tr. deleted,ARMH4-203,
ARSG,1,AC007780.1,,keep as is,,
ASAP1,1,ASAP1-IT2,,keep as is,,
ASAP1-IT2,1,ASAP1,,keep as is,,
ASB3,1,GPR75,,premature tr. deleted,"ASB3-204, ASB3-207, ASB3-216, ASB3-217",
ASDURF,1,ASNSD1,,Delete,,"Completely overlaps with ASNDS1, renaming upstream gene"
ASH1L,1,ASH1L-IT1,,keep as is,,
ASH1L-IT1,1,ASH1L,,keep as is,,
ASH2L,1,AC084024.1,,keep as is,,
ASNS,1,AC079781.5,,keep as is,,
ASNSD1,1,ASDURF,,RENAME,,"Rename ""ASNSD1-ASDURF"""
ASPRV1,1,PCBP1-AS1,,keep as is,,Minor overlap
ATF6B,1,TNXB,,keep as is,,
ATG10,1,ATG10-IT1,,keep as is,,
ATG10-IT1,1,ATG10,,keep as is,,
ATOX1,1,AC091982.3,,keep as is,,
ATP10A,1,AC023449.2,,keep as is,,
ATP11A,1,AL356752.1,,keep as is,,
ATP13A3,1,AC108676.1,,keep as is,,
ATP2B1-AS1,1,AC009522.1,,keep as is,,Minimal overlap
ATP2B2-IT1,1,ATP2B2,,keep as is,,
ATP2B2-IT2,1,ATP2B2,,keep as is,,
ATP5MF,1,PTCD1,,keep as is,,
ATP5MG,1,AP001267.4,,keep as is,,
ATP5MGL,1,CYB5R3,,keep as is,,
ATP6V0E2,1,AC092681.3,,keep as is,,
ATP6V1B1,1,VAX2,,keep as is,,
ATP7A,1,PGK1,,keep as is,,
ATP9B,1,AC125437.1,,keep as is,,
ATR,1,AC109992.2,,keep as is,,
ATRIP,1,TREX1,,readthrough tr. deleted,"ATRIP-201, ATRIP-204, ATRIP-209",Note that biologically ATRIP is often spliced to TREX
ATXN10,1,Z95331.1,,keep as is,,
ATXN1L,1,IST1,,keep as is,,
ATXN7,1,AC104162.2,,keep as is,,
AUNIP,1,AL020996.3,,keep as is,,
AVEN,1,AC009268.2,,keep as is,,
AZIN1-AS1,1,AP003354.1,,keep as is,,
B3GALT5,1,AF064860.1,,keep as is,,
BAALC-AS1,1,AC025370.1,,keep as is,,
BABAM2,1,MRPL33,,keep as is,,
BACE1,1,AP000892.3,,keep as is,,
BACE2,1,BACE2-IT1,,keep as is,,
BACE2-IT1,1,BACE2,,keep as is,,
BACH1-IT2,1,BACH1,,keep as is,,
BACH1-IT3,1,BACH1,,keep as is,,
BASP1-AS1,1,AC026790.1,,keep as is,,
BBS9,1,AC008080.1,,keep as is,,
BCAS3,1,AC005746.1,,keep as is,,
BCKDHA,1,AC011462.3,,keep as is,,
BCL2,1,AC022726.1,,keep as is,,
BCL2L2,1,BCL2L2-PABPN1,,keep as is,,
BCL7C,1,AC135048.2,,keep as is,,
BDH2,1,SLC9B2,,keep as is,,
BDKRB2,1,AL355102.1,,keep as is,,
BDNF,1,AC103796.1,,keep as is,,
BEND5,1,AGBL4,,keep as is,,
BFSP1,1,AL132765.2,,keep as is,,
BHLHB9,1,ARMCX5-GPRASP2,,keep as is,,
BICRA,1,AC010519.1,,keep as is,,
BISPR,1,MVB12A,,keep as is,,
BIVM,1,ERCC5,,keep as is,,Downstream gene fixed.
BLACAT1,1,LEMD1,,keep as is,,
BLCAP,1,AL109614.1,,keep as is,,
BLID,1,MIR100HG,,keep as is,,
BLOC1S3,1,MARK4,,keep as is,,
BMERB1,1,AC026401.1,,keep as is,,
BMP1,1,AC105206.1,,keep as is,,
BMP8B,1,OXCT2,,keep as is,,
BNC2,1,C9orf92,,keep as is,,
BNIP2,1,AC092755.1,,keep as is,,
BORCS8,1,MEF2B,,keep as is,,
BPESC1,1,MRPS22,,keep as is,,
BRCA1,1,AC060780.1,,premature tr. deleted,BRCA1-230,
BRD2,1,AL645941.1,,keep as is,,
BRD9,1,ZDHHC11,,readthrough tr. deleted,BRD9-210,
BRICD5,1,PGP,,keep as is,,
BRWD1,1,BRWD1-IT1,,keep as is,,
BRWD1-IT1,1,BRWD1,,keep as is,,
BST1,1,FAM200B,,keep as is,,
BTBD1,1,AC022558.1,,keep as is,,
BTG1,1,LINC01619,,keep as is,,
BUB1B,1,PAK6,,keep as is,,
BX005214.1,1,BX005214.2,,keep as is,,
BX005214.2,1,BX005214.1,,keep as is,,
BX284613.2,1,AL021026.1,,keep as is,,
BX284668.2,1,CROCC,,keep as is,,
BX571846.1,1,TMLHE-AS1,,keep as is,,
BX640515.1,1,CDH4,,keep as is,,
BX664727.3,1,ANKRD20A2,,premature tr. deleted,"BX664727.3-201, BX664727.3-202, BX664727.3-203, BX664727.3-204",
BX927359.1,1,TMEM179,,keep as is,,
C10orf113,1,NEBL,,keep as is,,
C10orf143,1,AL139123.1,,keep as is,,
C10orf62,1,HOGA1,,keep as is,,
C11orf71,1,AP002518.1,,keep as is,,
C11orf80,1,RCE1,,keep as is,,
C11orf96,1,AC087521.3,,keep as is,,
C11orf98,1,LBHD1,,keep as is,,
C12orf75,1,AC078874.1,,keep as is,,
C14orf178,1,SLIRP,,keep as is,,
C15orf48,1,AC025580.2,,keep as is,,
C16orf72,1,AC087190.3,,keep as is,,
C16orf74,1,AC018695.6,,keep as is,,
C16orf95,1,AC010531.4,,keep as is,,
C17orf113,1,ZNF385C,,keep as is,,
C17orf49,1,RNASEK,,keep as is,,manageable overlap
C17orf50,1,TAF15,,keep as is,,
C17orf78,1,AC243654.3,,keep as is,,
C17orf80,1,AC087301.1,,keep as is,,
C18orf32,1,AC100778.2,,keep as is,,
C1orf141,1,AL133320.2,,keep as is,,
C1orf21,1,AL078645.1,,keep as is,,
C1orf220,1,TEX35,,keep as is,,
C1QTNF5,1,MFRP,,keep as is,,
C1R,1,C1RL,,keep as is,,
C1RL,1,C1R,,readthrough tr. deleted,C1RL-206,
C1S,1,EMG1,,premature tr. deleted,C1S-205,
C2,1,CFB,,keep as is,,
C20orf187,1,AL158042.1,,keep as is,,
C21orf91,1,C21orf91-OT1,,keep as is,,
C21orf91-OT1,1,C21orf91,,keep as is,,no actionable transcripts
C22orf39,1,HIRA,,readthrough tr. deleted,C22orf39-204,
C2CD5,1,AC053513.2,,keep as is,,
C2orf15,1,AC079447.1,,keep as is,,
C2orf27A,1,LINC01087,,keep as is,,
C2orf42,1,TIA1,,premature tr. deleted,C2orf42-212,
C2orf69,1,MAIP1,,readthrough tr. deleted,C2orf69-202,
C3orf62,1,USP4,,keep as is,,overlap reasonable
C4A,1,STK19,,keep as is,,
C5orf24,1,DDX46,,keep as is,,Upstream gene fixed
C5orf46,1,AC011352.1,,keep as is,,
C5orf67,1,AC022431.1,,keep as is,,
C6orf163,1,SMIM8,,keep as is,,
C7orf50,1,AC073957.2,,keep as is,,
C7orf61,1,TSC22D4,,keep as is,,
C8orf37-AS1,1,AC083836.1,,keep as is,,
C8orf82,1,LRRC24,,keep as is,,
C8orf86,1,AC069120.1,,keep as is,,
C9,1,DAB2,,premature tr. deleted,"C9-203, C9-204",
C9orf92,1,BNC2,,premature tr. deleted,C9orf92-204,
CABIN1,1,AC253536.3,,keep as is,,
CABLES2,1,AL121832.3,,keep as is,,
CACNA1C-IT1,1,CACNA1C,,keep as is,,
CACNA1C-IT2,1,CACNA1C,,keep as is,,
CACNA1C-IT3,1,CACNA1C,,keep as is,,
CACUL1,1,AL139407.1,,keep as is,,
CADM1,1,AP000465.1,,keep as is,,
CADM3,1,ACKR1,,keep as is,,
CAGE1,1,SSR1,,keep as is,,
CALML3-AS1,1,AL732437.1,,keep as is,,
CAMK1D,1,AL731559.1,,keep as is,,
CAMTA1,1,CAMTA1-IT1,,keep as is,,
CAMTA1-IT1,1,CAMTA1,,keep as is,,
CAPN10,1,GPR35,,readthrough tr. deleted,CAPN102-202,
CAPN5,1,OMP,,keep as is,,
CAPNS2,1,LPCAT2,,keep as is,,
CAPS2,1,AC121761.2,,keep as is,,
CARD16,1,CARD17,,premature tr. deleted,CARD16-203,
CARD17,1,CARD16,,keep as is,,
CARD9,1,DNLZ,,readthrough tr. deleted,CARD9-204,
CARNMT1,1,AL158825.2,,keep as is,,
